ID,Family,SubFamily,Genus,Species_Prep,Sex,Age,bodymass(g),head-body(mm),tail (mm),ear (mm),hindfoot (mm),GLS,CI,Zyg,Brain,Height,UTRL,m1-m3,m3-m3,Mand,LTR,Mm1-m3
FMNH216965,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH216966,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH216967,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH216968,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH216969,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH216970,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH216972,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH217583,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH217584,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH217585,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH219290,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH219291,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH232158,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH236582,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
FMNH236583,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
KEN20150240,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,21.8,90,72,13,16,,,,,,,,,,,
KEN20150321,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,22.2,95,84,11.5,16.5,,,,,,,,,,,
KEN20150327,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Unsexed,,,,,,,,,,,,,,,,,
KEN20150340,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,5.5,55,52,11,11.5,,,,,,,,,,,
KEN20150414,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,24.5,95,82,14,18,,,,,,,,,,,
KEN20150439,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,22,93,79,13.5,17.5,,,,,,,,,,,
KEN20150520,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,22.6,101,87,15,19,,,,,,,,,,,
KEN20151449,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,19.8,90,61,16.5,17,,,,,,,,,,,
KEN20151663,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,16.3,80,16,,,,,,,,,,,,,
KEN20151691,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,22.4,90,77,15.5,16,,,,,,,,,,,
KEN20151692,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,22.4,95,85,16.5,18,,,,,,,,,,,
KEN20151878,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,18.2,90,81,18,18,,,,,,,,,,,
KEN20151902,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,18.3,90,77,16.5,18,,,,,,,,,,,
KEN2018010027,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,21.6,96,79,16,17,,,,,,,,,,,
KEN2018010045,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,22.5,85,71,15,17,,,,,,,,,,,
KEN2018010060,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,27.7,90,,,17,,,,,,,,,,,
KEN2018010061,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,29.9,100,92,17.5,17,,,,,,,,,,,
KEN2018010106,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,28.1,98,93,17.5,17,,,,,,,,,,,
KEN2018010122,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,19.5,84,,16,17,,,,,,,,,,,
KEN2018010139,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.3,88.5,79,14.5,17,,,,,,,,,,,
KEN2018010207,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,23.7,96,89,16,17.5,,,,,,,,,,,
KEN2018010313,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,28.9,101,150,,22.5,,,,,,,,,,,
KEN2018010428,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,24.6,95,74,15,17,,,,,,,,,,,
KEN2018010429,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.2,89,80,15.5,17.5,,,,,,,,,,,
KEN2018010493,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,36.3,104,142,17.5,22,,,,,,,,,,,
KEN2018010494,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.5,85,132,,22,,,,,,,,,,,
KEN2018010495,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.6,85,131,,20.5,,,,,,,,,,,
KEN2018010505,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,15.4,75,73,14.5,16,,,,,,,,,,,
KEN2018010507,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,22.6,98,,,16,,,,,,,,,,,
KEN2018010513,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,76.3,135,103,18,23.5,,,,,,,,,,,
KEN2018010519,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,58.1,113,89.5,17,24,,,,,,,,,,,
KEN2018010536,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,11.5,74,16,,16,,,,,,,,,,,
KEN2018010538,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,28.6,85,57,17,17,,,,,,,,,,,
KEN2018010550,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,64.6,109,100,17,23,,,,,,,,,,,
KEN2018010551,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,57.5,125,99,18.5,25,,,,,,,,,,,
KEN2018010552,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,15.2,67,67,15,19,,,,,,,,,,,
KEN2018010553,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,64.9,125,103,18,24,,,,,,,,,,,
KEN2018010594,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,19.8,89,77,,17,,,,,,,,,,,
KEN2018010606,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19,90,85,17.5,17,,,,,,,,,,,
KEN2018010625,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,13.7,73,,15,16,,,,,,,,,,,
KEN2018010626,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,21.1,91,67,17.5,17,,,,,,,,,,,
KEN2018010631,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,26.4,94,,17.8,17,,,,,,,,,,,
KEN2018010689,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.6,89,,16,16,,,,,,,,,,,
KEN2018010784,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,15.5,85,53,15.5,17,,,,,,,,,,,
KEN2018080087,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,23,91,44,16,16,,,,,,,,,,,
KEN2018080120,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,16.1,83,83,16,17,,,,,,,,,,,
KEN2018080165,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,20.8,91,81,17,16,,,,,,,,,,,
KEN2018080170,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,16,85,85,16,18,,,,,,,,,,,
KEN2018080171,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,16.5,85,80,15,17,,,,,,,,,,,
KEN2018080172,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,21.6,92,78,16,17,,,,,,,,,,,
KEN2018080198,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,22.1,88,80,15,18,,,,,,,,,,,
KEN2018080220,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,22.7,94,68,17,17,,,,,,,,,,,
KEN2018080262,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.4,84,72,16,16,,,,,,,,,,,
KEN2018080278,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,16.1,81,78,15,17,,,,,,,,,,,
KEN2018080289,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,18.9,89,80,16,17,,,,,,,,,,,
KEN2018080292,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,23.1,97,82,17,17,,,,,,,,,,,
KEN2018080336,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,17.5,83,63,,16,,,,,,,,,,,
KEN2018080341,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,18.9,87,18,,16,,,,,,,,,,,
KEN2018080459,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,13,76,75,15,17,,,,,,,,,,,
KEN2018081151,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,18.8,88,81,15,16,,,,,,,,,,,
KEN2018081202,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Female,,19.3,87,76,14,16,,,,,,,,,,,
KEN2018081227,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,Male,,18.7,91,80,15,17,,,,,,,,,,,
Lav3611,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TA663,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TA863,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TZ32912,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TZGG041,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TZSK039,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TZST012,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
TZST013,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0013,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0028,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0074,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0099,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0160,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0176,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0296,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0324,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0340,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0365,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0439,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0443,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
UGA0444,Gliridae,Graphiurinae,Graphiurus,cf. microtis MOTU24,,,,,,,,,,,,,,,,,,
AB218866,Gliridae,Glirinae,Glirulus,out G. japonicus,,,,,,,,,,,,,,,,,,
Dryomys,Gliridae,Leithiinae,Dryomys,out D. nitedula,,,,,,,,,,,,,,,,,,
IVB7961,Gliridae,Leithiinae,Muscardinus,out M. avellanarius,,,,,,,,,,,,,,,,,,
IVB8080,Gliridae,Glirinae,Glis,out G. glis,,,,,,,,,,,,,,,,,,
JQ241278,Gliridae,Glirinae,Glis,out G. glis,,,,,,,,,,,,,,,,,,
NC001892,Gliridae,Glirinae,Glis,out G. glis,,,,,,,,,,,,,,,,,,
NC002369,Scuridae,Sciurinae,Sciurus,out S. vulgaris,,,,,,,,,,,,,,,,,,
NC050264,Gliridae,Leithiinae,Muscardinus,out M. avellanarius,,,,,,,,,,,,,,,,,,
NC059783,Gliridae,Leithiinae,Eliomys,out E. quercinus,,,,,,,,,,,,,,,,,,
PP971634,Gliridae,Leithiinae,Myomimus,out M. roachi,,,,,,,,,,,,,,,,,,
PP971635,Gliridae,Leithiinae,Selevinia,out S. betpakdalaensis,,,,,,,,,,,,,,,,,,
PQ533836,Gliridae,Leithiinae,Dryomys,out D. laniger,,,,,,,,,,,,,,,,,,
PQ533841,Gliridae,Leithiinae,Dryomys,out D. nitedula,,,,,,,,,,,,,,,,,,
